Stand,P/S,Distance on Transect,Height ,Relative Scorch Height,% Crown Scorch,Relative Char Height,% Crown Char,Notes,
1,P,0.5,3,0,0,0,0,,
1,P,1.25,1.25,0,0,0,0,,
1,P,1.5,2.75,1,40,0.25,5,,
1,P,3,1.75,0.5,50,0,0,,
1,P,8,1.25,1,25,0,0,,
1,P,10,4.25,2.5,15,0,0,,
1,P,10.25,1.5,1.25,20,0.75,10,,
1,P,11.5,8,4,5,0,0,,
1,P,14.5,12,3.5,5,0,0,,
1,S,10,6.5,6,60,3.5,10,,
2,P,3.7,2,2,100,1,40,,
2,P,7,2.5,2.5,100,0,0,,
2,P,7.9,2,2,100,0.5,50,,
2,P,9,3.5,3.5,100,0.5,10,,
2,P,10,3.4,3.4,70,0.25,10,,
2,P,10,3,3,100,0,0,,
2,P,12.5,3,3,50,0,0,,
2,S,10,2,2,100,2,100,,
3,P,4,11,11,100,0,0,,
3,P,4,4.5,4.5,100,0,0,,
3,P,9.9,9,9,100,0,0,,
3,P,9.9,10,10,100,0,0,,
3,P,10,5,5,100,0,0,,
3,P,11.5,4.5,4.5,100,0,0,,
3,P,15,9,0,0,0,0,,
3,P,17.5,2.5,2.45,95,0,0,,
3,P,19,6.5,4,10,0,0,,
3,S,10,5.5,5.5,95,0,0,,
5,P,5,1.25,1.25,100,1,90,,
5,P,5.7,2.25,2.25,100,2.25,95,,
5,P,8.6,2,2,100,2,100,,
5,P,9.1,2.5,2.5,100,2.5,100,,
5,P,10,1.5,1.5,100,1.5,100,,
5,P,10,1.5,1.5,100,1.5,100,,
5,P,10.4,0.5,0.5,100,0.5,100,,
5,P,12,1.75,1.75,100,1.5,30,,
5,P,12.4,3,2.5,60,0,0,,
5,P,13,1.75,1.75,60,0,0,,
5,P,14.6,1.75,1.75,90,0.1,10,,
5,P,19.2,1,NA,NA,NA,NA,Tree marked as missing or otherwise impacted/ran over,
5,S,10,1,1,100,1,100,,
6,P,7.6,2.5,2.4,90,1.5,20,,
6,P,7.7,2.25,2,99,0,0,,
6,P,8.2,3,2.75,80,2,50,,
6,P,8.4,3,2.9,99,1.25,25,,
6,P,10,2,1.9,95,0,0,,
6,P,10,1,1,100,0.8,75,,
6,P,10.4,3,2.75,80,2,70,,
6,P,11.5,3.5,2,80,1,40,,
6,P,12,3,2,80,1,40,,
6,P,12.2,3,2.75,80,2,50,,
6,S,10,2.25,2.25,100,2,90,,
7,P,2,8,NA,NA,NA,NA,Tree marked as missing or otherwise impacted/ran over,
7,P,5.1,9,0,0,0,0,,
7,P,5.9,4.5,4.25,95,0,0,,
7,P,6.1,6,4.25,50,0,0,,
7,P,6.1,2.75,2.75,100,0,0,,
7,P,6.1,3,3,100,0,0,,
7,P,6.1,3,3,100,0,0,,
7,P,6.8,6.25,6.1,95,0,0,,
7,P,10,12,6.5,70,0,0,,
7,P,10,10,6.5,80,0,0,,
7,P,14.1,8,4.5,75,0,0,,
7,P,14.2,1.75,1.75,100,0,0,,
7,S,10,9,9,95,0,0,,
8,P,8,4,3.15,90,1,50,,
8,P,8.7,1.75,1.75,99,0,0,,
8,P,8.8,2.5,2.25,95,2,10,,
8,P,9.4,2.25,2.25,100,2,90,,
8,P,9.5,2.5,2.25,75,0.25,25,,
8,P,9.5,0.25,0,0,0,0,,
8,P,10,1.5,1.4,60,0.5,25,,
8,P,10.1,0.25,0.25,100,0.1,50,,
8,P,10.7,2.5,1.75,30,1.25,25,,
8,P,10.7,3.25,1.75,5,0,0,,
8,P,11.5,2.25,2,60,1.5,5,,
8,P,11.9,2.5,2.25,75,0,0,,
8,P,12.7,2,2,40,0,0,,
8,P,13.6,0.25,0.25,100,0,0,,
8,P,14,1.5,1,70,0.5,25,,
8,S,10,1,1,100,1,100,,
9,P,0.25,1,1,100,0.9,90,,
9,P,0.8,0.25,0.25,100,0.25,100,,
9,P,1,1,1,100,0.9,90,,
9,P,1.8,0.5,0.5,100,0.5,100,,
9,P,1.8,0.75,0.75,100,0.5,90,,
9,P,2.3,1,1,100,0.9,90,,
9,P,2.4,2.25,2,95,1.5,90,,
9,P,2.9,1.5,1.5,100,0.9,80,,
9,P,3.4,0.75,0.75,100,0.7,90,,
9,P,3.4,0.75,0.75,100,0.7,90,,
9,P,3.6,1.5,1.5,100,0.7,90,,
9,P,4.4,0.25,0.25,100,0.25,100,,
9,P,4.9,2,2,100,1.25,70,,
9,P,5.9,0.5,0.5,100,0.5,100,,
9,P,6,1.75,1.5,95,1.25,90,,
9,P,6.1,1.5,1.5,100,1,70,,
9,P,6.8,1,1,100,0.7,90,,
9,P,7.1,0.25,0.25,100,0.25,100,,
9,P,7.3,0.5,0.5,100,0.5,100,,
9,P,8,0.25,0.25,100,0.25,100,,
9,P,8.4,1.5,1.5,100,1,80,,
9,P,9.3,1.75,1.75,100,1,70,,
9,P,10,1,1,100,0.9,90,,
9,P,10,1.75,1.75,100,1,50,,
9,P,10.3,0.5,0.5,100,0.4,90,,
9,P,10.7,1,1,100,0.25,25,,
9,P,11,1,1,100,0.5,50,,
9,P,11,1.25,1,90,0.5,50,,
9,P,11.5,0.25,0.25,100,0.1,20,,
9,P,12,1,1,100,0.75,75,,
9,P,12.1,0.25,0.25,100,0.1,75,,
9,P,12.1,0.25,0.25,100,0.1,75,,
9,P,12.3,0.5,0.5,100,0.3,75,,
9,P,12.7,0.5,0.5,100,0.3,75,,
9,P,13.5,1,0.8,80,0,0,,
9,P,13.8,2,1.5,30,0,0,,
9,P,15.1,0.75,0,0,0,0,,
9,P,15.3,1,0,0,0,0,,
9,P,16.2,0.25,0,0,0,0,,
9,P,17.2,0.5,0,0,0,0,,
9,P,17.5,0.25,0,0,0,0,,
9,S,10,2,2,100,1,50,,
