project,grass-harvest-g,needle-harvest-g,oak-harvest-g,grass-ocular,needle-ocular,oak-ocular
ASCC,97.85,192.16,26.75,1,3,
ASCC,359.28,90.52,0,4,2.5,
ASCC,507.91,12.86,0,4,1,
ASCC,344.36,121.49,5.49,4,2.5,
ASCC,29.05,296.93,48.18,1,3,2.5
ASCC,13.49,147.23,165.59,1,1,3
ASCC,13.15,6.77,164.41,1,1,3
ASCC,246.67,461.26,13.07,3.5,4,1
ASCC,271.97,116.41,84.25,2,1,0
ASCC,27.94,33.11,0,1,1,0
ASCC,0,259.86,107.97,0,3.5,3
ASCC,152.92,99.61,0,2.5,2.5,0
ASCC,267.38,148.08,0,3.5,2,0
ASCC,123.2,86.73,331.81,2.5,2,4
ASCC,105.97,28.21,40.7,4,3,1
ASCC,238.72,35.03,105.32,3.5,2,1.5
ASCC,189.4,314.38,11.6,2.5,3,1
ASCC,353.92,100.23,0,3.5,3,0.5
ASCC,266.93,280.98,12.26,3,4,1
ASCC,21.57,334.39,0,1,4,0
ASCC,79.24,180.35,20.22,3,4,
ASCC,304.76,159.71,20.12,3.5,4,
ASCC,131.38,116.16,0,2,2.5,
ASCC,462.91,268.56,79.01,4,3.5,
ASCC,20.44,232.18,114.81,1,2.5,
ASCC,56.63,101.62,220.52,2.5,4,
ASCC,97.6,157.26,174.3,2,1,2
ASCC,161.25,120.52,74.93,2,2,4
ASCC,249.38,277.21,3.92,3.5,3.5,1
ASCC,44.99,127.3,27,1,1.5,
ASCC,210.43,154.22,0,4,3.5,
ASCC,35.34,235.41,69.76,1.5,3.5,
ASCC,82.01,22.55,151.86,2,1,1.5
ASCC,176.57,115.74,0,1.5,1.5,0
ASCC,22.97,154.94,126.41,1,2.5,
ASCC,112.26,265.32,130.15,1.5,4,3.5
ASCC,308.96,14.04,11.47,4,1,
ASCC,254.81,59.46,2.12,3.5,2.5,
ASCC,NA,NA,NA,,,
ASCC,190.91,212.37,6.08,2.5,3,1.5
ASCC,0,NA,146.03,0,,1.5
ASCC,36.89,145.19,112.12,1,2.5,2.5
ASCC,106.31,36.3,61.49,1.5,1,2.5
ASCC,NA,329.07,37.06,3,3.5,1
ASCC,324.48,142.68,19.74,2.5,2.5,0.5
ASCC,61.24,1.59,57.32,2,0.5,2
ASCC,24.86,221.74,31.69,1,3.5,2
ASCC,0,232.81,18.71,0,4,3
ASCC,0,6.41,135.17,0,2,3.5
ASCC,59.39,239.88,1.77,2,2.5,
ASCC,116.58,59.22,59.05,1,2,
ASCC,189.9,42.44,1.01,2,1,
ASCC,60.55,252.59,30.84,2.5,2.5,
ASCC,60.32,111.99,31.97,1,2,1.5
ASCC,230.72,205.57,42.31,1.5,3,2
ASCC,139,277.97,0,1.5,3,
ASCC,57.2,453.56,1.16,1,4,
ASCC,196.15,69.2,0,2,3,
ASCC,0,79.73,1.65,0,1,
ASCC,0,0,480.63,0,0,3
ASCC,0,334.14,17.51,0,1,4
ASCC,265.65,27.04,34.58,4,1.5,1
ASCC,250.34,0,4.08,2.5,0,0
ASCC,398.88,91.92,7.21,3,1,0
ASCC,321.28,33.11,5.49,4,1,0.5
ASCC,173.85,109.54,12.57,2,3,0.5
ASCC,272.13,55.43,0,3.5,1,0
ASCC,496.95,168.75,0,4,2,0
ASCC,143.13,104.13,60.29,2,2,2.5
ASCC,321.34,98.25,60.29,4,2,1
ASCC,350.27,39.26,49.15,4,2,2
ASCC,174.6,301.13,2.22,1.5,3,1
ASCC,370.13,265.25,0.48,3.5,3.5,1
ASCC,328.16,98.2,0,4,3,0
ASCC,303.44,239.53,143.23,4,2.5,2.5
ASCC,216.74,378.03,0,3,4,
ASCC,172.03,240.64,50,2.5,3.5,
ASCC,150.36,100.35,0,2.5,2,
ASCC,430.86,201.23,0,4,4,
ASCC,83.02,92.69,0,1,3,
ASCC,302.2,312.29,37.35,4,3.5,
ASCC,301.1,299.05,33.35,4,3,1
ASCC,361.41,101.1,91.23,4,2,3.5
ASCC,26.32,338.05,47.82,1,4,3
ASCC,305.5,383.61,2.02,4,4,
ASCC,343.21,407.96,0,3.5,3.5,
ASCC,328.02,336.69,0,4,4,
ASCC,21.17,73.19,202.54,1,1,3
ASCC,335.75,338.24,5.44,4,3.5,0.5
ASCC,81.94,35.74,41.37,1.5,1,
ASCC,302.1,178.25,47.44,4,1,
ASCC,469.78,84.31,56.51,4,1,
